id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
15	38	1192	1288	1497	102	26	305	177	96
17	23	1451	1608	2682	321	223	1231	687	157
29	7	4119	4134	4861	143	360	742	239	15
19	95	1756	1848	4956	876	561	3200	1763	92
33	113	4720	4998	5608	305	274	888	309	278
34	29	4870	4956	5642	218	126	772	428	86
37	14	5613	5642	6109	85	112	496	299	29
42	42	6800	6846	7021	74	21	221	126	46
36	44	5554	5608	7257	465	221	1703	1017	54
49	38	7810	7839	8086	72	31	276	173	29
52	5	8427	8750	9002	80	53	575	442	323
56	13	9236	9262	9275	13	0	39	26	26
50	3	8137	8194	9436	291	107	1299	901	57
58	17	9501	9567	9584	17	0	83	66	66
0	0	0	0	10030	9871	0	10030	159	0
