id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
7	95	577	611	1031	99	68	454	287	34
12	53	1275	1313	1366	53	0	91	38	38
11	170	1063	1128	2349	238	30	1286	1018	65
21	53	2693	2791	2993	97	26	300	177	98
16	123	2187	2349	3331	309	85	1144	750	162
25	25	3553	3566	3591	25	0	38	13	13
24	95	3362	3439	3744	103	20	382	259	77
20	94	2522	3845	4289	226	55	1767	1486	1323
30	26	4041	4141	4511	206	42	470	222	100
34	34	4556	4572	4866	56	114	310	140	16
39	27	4985	4998	5169	47	46	184	91	13
41	41	5450	5538	6261	277	199	811	335	88
32	61	4365	4415	6421	573	666	2056	817	50
53	4	6972	7059	7510	163	76	538	299	87
59	5	7312	7422	7533	89	9	221	123	110
54	123	7068	7145	7865	175	19	797	603	77
58	133	7260	7273	8028	136	8	768	624	13
67	17	8446	8569	8691	103	12	245	130	123
69	11	8535	8907	9248	175	48	713	490	372
73	45	9069	9111	9293	46	18	224	160	42
63	74	8146	8162	9745	361	247	1599	991	16
0	0	0	-1	10015	10015	0	10015	0	-1
