id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
7	6	768	817	886	12	18	118	88	49
9	83	879	898	1162	134	88	283	61	19
12	93	1112	1289	1382	93	0	270	177	177
11	7	1048	1162	1667	186	49	619	384	114
1	87	0	0	1933	665	175	1933	1093	0
16	23	2001	2033	2183	28	84	182	70	32
21	65	3005	3044	3353	87	29	348	232	39
22	40	3089	3223	3831	238	78	742	426	134
3	1	435	635	4367	849	141	3932	2942	200
25	53	4348	4367	4690	170	66	342	106	19
32	17	5489	5509	5582	19	40	93	34	20
39	52	6812	6828	7648	290	54	836	492	16
42	22	6936	6952	7977	295	197	1041	549	16
0	0	0	0	10001	9655	0	10001	346	0
