id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	40	189	210	440	154	23	251	74	21
1	197	0	0	651	406	83	651	162	0
3	70	347	347	1323	318	230	976	428	0
8	12	1525	1557	1569	12	0	44	32	32
6	44	949	1002	1613	188	86	664	390	53
9	5	1747	1886	2284	78	105	537	354	139
11	61	2560	2582	2643	61	0	83	22	22
5	157	764	921	2800	444	81	2036	1511	157
13	99	3096	3116	3838	184	253	742	305	20
12	54	2569	2880	4095	502	12	1526	1012	311
18	120	3861	3991	4332	170	10	471	291	130
21	13	4526	4619	4676	22	26	150	102	93
26	15	4788	4790	4805	15	0	17	2	2
19	14	4431	4611	5022	153	128	591	310	180
24	106	4763	5314	5420	106	0	657	551	551
27	104	5050	5209	5749	261	155	699	283	159
30	70	5580	5641	6176	167	59	596	370	61
29	96	5570	5572	6272	269	94	702	339	2
34	5	6193	6272	6277	5	0	84	79	79
16	7	3322	3486	7442	590	399	4120	3131	164
40	60	7065	7182	7578	96	136	513	281	117
43	11	7408	7462	8040	210	100	632	322	54
54	17	8615	8624	9518	169	153	903	581	9
55	62	9041	9061	9956	324	125	915	466	20
0	0	0	0	10042	9445	0	10042	597	0
