id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
25	99	2775	2841	3138	154	46	363	163	66
17	120	1606	3412	3532	120	0	1926	1806	1806
47	89	5171	5271	5539	139	70	368	159	100
52	42	5794	5909	6055	139	2	261	120	115
6	122	280	281	6298	699	602	6018	4717	1
48	66	5267	5539	6420	303	111	1153	739	272
58	56	6652	6869	7148	140	81	496	275	217
66	83	7466	7539	7622	83	0	156	73	73
11	11	850	909	7960	275	118	7110	6717	59
29	126	3236	3299	8651	198	4	5415	5213	63
77	89	9054	9155	9797	136	280	743	327	101
0	0	0	-1	10011	10011	0	10011	0	-1
