id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	934	286	13	934	635	0
10	0	898	1553	1633	80	0	735	655	655
7	0	398	934	2501	241	18	2103	1844	536
12	0	1053	2519	2766	247	0	1713	1466	1466
15	0	1341	3272	3448	176	0	2107	1931	1931
3	0	118	569	3646	388	60	3528	3080	451
5	0	132	911	4856	656	166	4724	3902	779
21	0	2246	4856	5006	150	0	2760	2610	2610
13	0	1088	2766	5793	288	29	4705	4388	1678
8	0	696	992	6396	264	108	5700	5328	296
19	0	1855	4157	8348	180	3	6493	6310	2302
20	0	1984	4309	8351	162	11	6367	6194	2325
41	0	5620	9094	9263	169	0	3643	3474	3474
42	0	5705	9507	9824	317	0	4119	3802	3802
0	0	0	-1	10037	10037	0	10037	0	-1
