id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	22	0	0	1089	286	513	1089	290	0
17	22	1789	1893	2227	181	66	438	191	104
8	112	801	921	2700	419	217	1899	1263	120
22	5	2170	2260	2705	113	259	535	163	90
24	93	2589	2864	3166	170	55	577	352	275
27	50	3407	3533	3583	50	0	176	126	126
6	143	621	635	3744	484	444	3123	2195	14
39	69	5071	5126	5525	210	65	454	179	55
35	73	4614	4803	5598	271	158	984	555	189
42	16	5301	6222	6461	123	65	1160	972	921
54	20	6747	6769	7749	131	578	1002	293	22
66	58	8590	8624	8889	96	6	299	197	34
51	2	6412	6461	8891	517	529	2479	1433	49
68	6	8881	8891	8897	6	0	16	10	10
0	0	0	0	10008	9841	0	10008	167	0
