id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	660	720	1371	285	253	711	173	60
9	0	1011	1065	1397	29	12	386	345	54
7	0	687	728	1726	454	161	1039	424	41
13	0	1718	1838	2398	194	65	680	421	120
14	0	1765	1990	2679	88	29	914	797	225
16	0	2087	2412	2844	373	37	757	347	325
10	0	1409	1726	3299	640	95	1890	1155	317
31	0	4210	4541	4691	150	0	481	331	331
26	0	3274	3612	4829	640	167	1555	748	338
38	0	5237	5294	5462	168	0	225	57	57
34	0	4526	5238	5856	321	2	1330	1007	712
32	0	4351	4490	6271	555	76	1920	1289	139
44	0	6039	6074	6644	277	28	605	300	35
48	0	6627	6815	6867	52	0	240	188	188
50	0	7159	7598	8464	178	256	1305	871	439
55	0	8039	8312	8533	101	102	494	291	273
57	0	8337	8425	8689	12	57	352	283	88
62	0	9331	9414	9652	238	0	321	83	83
63	0	9395	9652	9662	10	0	267	257	257
0	0	0	-1	10018	10018	0	10018	0	-1
