id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	497	611	1298	474	21	801	306	114
12	0	1275	1366	1419	53	0	144	91	91
11	0	1063	1298	1813	238	30	750	482	235
4	0	267	330	2181	552	528	1914	834	63
20	0	2522	2572	2971	226	55	449	168	50
21	0	2693	2728	3024	97	26	331	208	35
18	0	2382	2558	3262	162	1	880	717	176
26	0	3602	3747	4577	332	87	975	556	145
37	0	4739	4955	5597	300	15	858	543	216
39	0	4985	5191	5624	47	46	639	546	206
45	0	6091	6165	6468	178	42	377	157	74
48	0	6241	6468	6871	403	0	630	227	227
64	0	8245	8385	9030	517	66	785	202	140
73	0	9069	9800	9898	46	18	829	765	731
0	0	0	-1	10001	10001	0	10001	0	-1
