id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	88	829	891	1393	208	53	564	303	62
4	58	866	887	1573	143	248	707	316	21
10	49	1616	1653	1702	49	0	86	37	37
8	84	1418	1505	2100	213	172	682	297	87
2	109	105	163	2426	654	258	2321	1409	58
15	109	2376	2449	2558	109	0	182	73	73
18	129	2885	3061	3784	360	60	899	479	176
37	45	5549	5589	5789	91	42	240	107	40
26	115	4315	4380	6398	381	502	2083	1200	65
43	7	6027	6104	6405	60	18	378	300	77
49	5	6749	6819	6824	5	0	75	70	70
52	55	7016	7149	7472	182	73	456	201	133
24	54	3818	3919	8138	478	338	4320	3504	101
58	95	7900	8230	8325	95	0	425	330	330
60	146	8273	8503	8649	146	0	376	230	230
67	12	9396	9397	9882	200	46	486	240	1
0	0	0	0	10013	9850	0	10013	163	0
