id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	17	37	163	914	160	267	877	450	126
5	51	832	861	1088	87	134	256	35	29
22	20	3084	3149	3248	35	13	164	116	65
32	7	4419	4675	5158	163	94	739	482	256
42	20	6115	6186	6364	55	21	249	173	71
48	24	6932	7027	7599	175	84	667	408	95
51	42	7128	7140	7641	153	139	513	221	12
56	48	7689	7700	7748	48	0	59	11	11
57	110	7782	7968	8078	110	0	296	186	186
47	95	6851	7748	8206	305	64	1355	986	897
0	0	0	0	10052	9430	0	10052	622	0
