id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	13	0	0	448	286	13	448	149	0
10	80	898	1019	1099	80	0	201	121	121
3	99	118	494	1260	388	60	1142	694	376
8	50	696	822	1310	264	108	614	242	126
15	176	1341	1537	1713	176	0	372	196	196
13	136	1088	1360	1849	288	29	761	444	272
19	28	1855	1954	2144	180	3	289	106	99
21	150	2246	2302	2452	150	0	206	56	56
30	57	3585	3598	3846	74	157	261	30	13
31	70	3687	3735	4145	127	160	458	171	48
33	50	3852	3921	4282	131	113	430	186	69
20	3	1984	4474	4677	162	11	2693	2520	2490
35	51	4123	4145	4790	283	120	667	264	22
37	117	4572	4677	5090	200	50	518	268	105
41	169	5620	5754	5923	169	0	303	134	134
40	62	5539	6012	6438	233	115	899	551	473
43	112	6001	6003	6704	192	53	703	458	2
48	117	6592	7155	7272	117	0	680	563	563
46	51	6468	6553	7877	286	224	1409	899	85
47	168	6513	7994	8162	168	0	1649	1481	1481
54	26	8384	8419	8445	26	0	61	35	35
55	27	8425	8445	8472	27	0	47	20	20
53	57	8100	8208	8848	219	62	748	467	108
65	34	9330	9360	9394	34	0	64	30	30
62	22	9082	9104	9416	101	128	334	105	22
58	35	8723	8749	9974	277	582	1251	392	26
0	0	0	-1	10020	10020	0	10020	0	-1
