id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	24	85	111	772	193	229	687	265	26
1	4	0	0	983	216	385	983	382	0
5	23	200	288	2225	567	393	2025	1065	88
8	18	1188	1257	2860	326	400	1672	946	69
13	28	2152	2564	3116	315	131	964	518	412
19	39	3015	3116	3247	77	9	232	146	101
22	155	3469	3518	4398	186	56	929	687	49
21	29	3334	3342	4817	360	35	1483	1088	8
24	147	4792	4817	5832	314	129	1040	597	25
29	117	5833	5901	6364	308	45	531	178	68
32	18	6457	6540	7048	87	101	591	403	83
37	28	6955	7084	7527	236	23	572	313	129
40	5	7589	7620	8469	248	401	880	231	31
45	67	8017	8177	8957	326	68	940	546	160
0	0	0	-1	10014	10014	0	10014	0	-1
