id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	105	353	1363	127	9	1258	1122	248
7	0	334	1244	3204	414	6	2870	2450	910
6	0	279	745	3358	616	42	3079	2421	466
15	0	1647	3850	3876	26	0	2229	2203	2203
21	0	2142	5199	5220	21	0	3078	3057	3057
1	0	0	0	5304	174	163	5304	4967	0
11	0	941	2770	5904	543	76	4963	4344	1829
20	0	2035	4725	7922	37	77	5887	5773	2690
40	0	5086	8007	8029	22	0	2943	2921	2921
8	0	575	2065	8240	504	37	7665	7124	1490
23	0	3019	5971	9712	399	52	6693	6242	2952
0	0	0	0	10042	10013	0	10042	29	0
